Date,provincename,Construction,Transportation and warehousing,Agriculture ,Population,Station Name,Max Temp (°C),Total Snow (cm),Total Precip (mm),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Longitude (x),Latitude (y)
2013-01-01,Prince Edward Island,57.55073438,32.61372604,15.6717476,36094,Charlottetown,-4.1,1.2666666666666666,0.4,-13.2,-8.7,26.7,0,-63.12,46.29
2013-02-01,Prince Edward Island,57.53664232,29.37829019,17.93085297,36094,Charlottetown,-8.4,1.0857142857142856,0,-20.5,-14.5,32.5,0,-63.12,46.29
2013-03-01,Prince Edward Island,64.04221519,28.44504712,18.70011417,36094,Charlottetown,-0.6,0.95,3.2,-3,-1.8,19.8,0,-63.12,46.29
2013-04-01,Prince Edward Island,71.88032768,26.9408555,16.95007105,36094,Charlottetown,5,1.1111111111111112,1,-2.3,1.4,16.6,0,-63.12,46.29
2013-05-01,Prince Edward Island,63.23015651,28.74591064,13.95059633,36094,Charlottetown,15.3,1,0,1.1,8.2,9.8,0,-63.12,46.29
2013-06-01,Prince Edward Island,57.63355054,32.81196589,14.41521286,36094,Charlottetown,18.8,2.327272727272728,3,7.3,13.1,4.9,0,-63.12,46.29
2013-07-01,Prince Edward Island,57.17309623,32.54146993,11.4988545,36094,Charlottetown,24.5,2.763636363636364,0,15,19.8,0,1.8,-63.12,46.29
2013-08-01,Prince Edward Island,58.23753965,35.2052557,11.73406403,36094,Charlottetown,26.8,2.763636363636364,0,16.2,21.5,0,3.5,-63.12,46.29
2013-09-01,Prince Edward Island,58.36919433,34.7707109,12.55064783,36094,Charlottetown,21.7,2.4727272727272727,2.4,16.1,18.9,0,0.9,-63.12,46.29
2013-10-01,Prince Edward Island,55.23754403,33.61181456,13.14552118,36094,Charlottetown,21.2,2.436363636363636,0,8.9,15.1,2.9,0,-63.12,46.29
2013-11-01,Prince Edward Island,58.13246714,39.41959151,12.31184913,36094,Charlottetown,18.5,4.363636363636363,15.6,10.2,14.4,3.6,0,-63.12,46.29
2013-12-01,Prince Edward Island,53.80287317,33.17309319,15.94755864,36094,Charlottetown,1.2,5.727272727272728,5.2,-6,-2.4,20.4,0,-63.12,46.29
2014-01-01,Prince Edward Island,44.87635137,30.31146576,17.51077545,36094,Charlottetown,-14.8,5.727272727272728,0,-20.3,-17.6,35.6,0,-63.12,46.29
2014-02-01,Prince Edward Island,55.48662017,31.13455662,17.79982023,36094,Charlottetown,-1.3,5.727272727272728,0,-8,-4.7,22.7,0,-63.12,46.29
2014-03-01,Prince Edward Island,50.28198267,29.86420912,14.98242199,36094,Charlottetown,-4,5.509090909090909,0.6,-16.7,-10.4,28.4,0,-63.12,46.29
2014-04-01,Prince Edward Island,51.43927183,36.65372184,14.93986914,36094,Charlottetown,-2.4,5.672727272727273,21.2,-3.5,-3,21,0,-63.12,46.29
2014-05-01,Prince Edward Island,49.16813787,35.27969887,14.37921914,36094,Charlottetown,9.5,4.254545454545454,18,-0.7,4.4,13.6,0,-63.12,46.29
2014-06-01,Prince Edward Island,44.76167662,36.07607953,15.12254007,36094,Charlottetown,19,4.745454545454546,0,3.5,11.3,6.7,0,-63.12,46.29
2014-07-01,Prince Edward Island,45.43409856,34.47838004,13.66358497,36094,Charlottetown,28.3,4.745454545454546,0,17.1,22.7,0,4.7,-63.12,46.29
2014-08-01,Prince Edward Island,47.98182811,35.46227617,12.85071402,36094,Charlottetown,25.9,4.763636363636364,0,15.6,20.8,0,2.8,-63.12,46.29
2014-09-01,Prince Edward Island,48.37241939,30.08523686,13.59781547,36094,Charlottetown,21,4.9818181818181815,1.8,15.4,18.2,0,0.2,-63.12,46.29
2014-10-01,Prince Edward Island,50.58109978,37.1621736,13.40704619,36094,Charlottetown,12.6,3.090909090909091,0,4.8,8.7,9.3,0,-63.12,46.29
2014-11-01,Prince Edward Island,49.54922226,36.22925604,15.15574248,36094,Charlottetown,6.7,1.4545454545454546,10.6,2.3,4.5,13.5,0,-63.12,46.29
2014-12-01,Prince Edward Island,46.5289331,37.72740387,11.01539002,36094,Charlottetown,11.8,1.4545454545454546,0,-1.9,5,13,0,-63.12,46.29
2015-01-01,Prince Edward Island,50.94949399,38.77013208,13.53783238,36094,Charlottetown,-3.5,1.4545454545454546,0.2,-15,-9.3,27.3,0,-63.12,46.29
2015-02-01,Prince Edward Island,50.98324807,42.05892064,9.75938617,36094,Charlottetown,-5,1.4545454545454546,3,-20,-12.5,30.5,0,-63.12,46.29
2015-03-01,Prince Edward Island,42.45591699,42.95410015,11.46591033,36094,Charlottetown,-4.6,1.2909090909090908,0.4,-13.6,-9.1,27.1,0,-63.12,46.29
2015-04-01,Prince Edward Island,51.55115256,44.21121702,11.04076814,36094,Charlottetown,-0.8,1.2909090909090908,0,-7,-3.9,21.9,0,-63.12,46.29
2015-05-01,Prince Edward Island,45.58057701,35.41920717,14.0714978,36094,Charlottetown,5.8,2.2181818181818183,0,-1.1,2.4,15.6,0,-63.12,46.29
2015-06-01,Prince Edward Island,47.30027772,34.14890533,15.84122174,36094,Charlottetown,12.1,2.727272727272727,0,3.6,7.9,10.1,0,-63.12,46.29
2015-07-01,Prince Edward Island,45.72496575,29.73471805,15.95057715,36094,Charlottetown,25,2.709090909090909,0,14,19.5,0,1.5,-63.12,46.29
2015-08-01,Prince Edward Island,47.03717852,29.71120561,16.29112029,36094,Charlottetown,27.2,2.472727272727273,0,16.3,21.8,0,3.8,-63.12,46.29
2015-09-01,Prince Edward Island,50.63570987,31.02229984,17.75717498,36094,Charlottetown,16.3,2.4363636363636365,0,7.5,11.9,6.1,0,-63.12,46.29
2015-10-01,Prince Edward Island,49.85059048,32.40124258,16.12042483,36094,Charlottetown,20.4,2.4545454545454546,20.8,8.7,14.6,3.4,0,-63.12,46.29
2015-11-01,Prince Edward Island,42.03098282,31.20018423,18.45836161,36094,Charlottetown,10.4,2.709090909090909,5.6,1.8,6.1,11.9,0,-63.12,46.29
2015-12-01,Prince Edward Island,45.49386511,37.64421356,17.21526994,36094,Charlottetown,1,2.709090909090909,0,-6.1,-2.6,20.6,0,-63.12,46.29
2016-01-01,Prince Edward Island,53.2592157,43.7122937,12.843744,36094,Charlottetown,-0.2,2.7454545454545456,0.4,-6,-3.1,21.1,0,-63.12,46.29
2016-02-01,Prince Edward Island,58.98889293,43.26073855,14.10098718,36094,Charlottetown,8,2.7454545454545456,0,0.3,4.2,13.8,0,-63.12,46.29
2016-03-01,Prince Edward Island,49.58452356,39.80243724,15.35141849,36094,Charlottetown,4.9,2.7454545454545456,0.2,-8.3,-1.7,19.7,0,-63.12,46.29
2016-04-01,Prince Edward Island,47.0132411,37.23190125,13.01442677,36094,Charlottetown,13.4,2.4545454545454546,2.8,6.4,9.9,8.1,0,-63.12,46.29
2016-05-01,Prince Edward Island,57.17051016,32.18936277,16.21067651,36094,Charlottetown,13.2,1.945454545454545,0,-4.5,4.4,13.6,0,-63.12,46.29
2016-06-01,Prince Edward Island,51.74349802,35.60556646,15.48615061,36094,Charlottetown,9.8,2.018181818181818,0.4,-0.1,4.9,13.1,0,-63.12,46.29
2016-07-01,Prince Edward Island,49.03030439,35.58722361,17.01400342,36094,Charlottetown,27.9,3.872727272727273,0,15.2,21.6,0,3.6,-63.12,46.29
2016-08-01,Prince Edward Island,49.81110492,35.71952989,15.17075516,36094,Charlottetown,24.9,4.527272727272727,0,10.2,17.6,0.4,0,-63.12,46.29
2016-09-01,Prince Edward Island,51.06924202,34.49379434,16.85903242,36094,Charlottetown,22,4.563636363636364,17.6,16.4,19.2,0,1.2,-63.12,46.29
2016-10-01,Prince Edward Island,53.95368769,34.49981258,16.55247167,36094,Charlottetown,18.9,4.472727272727273,0,6.8,12.9,5.1,0,-63.12,46.29
2016-11-01,Prince Edward Island,57.33171678,34.251949,12.90935181,36094,Charlottetown,7.5,4.472727272727273,0.8,5.6,6.6,11.4,0,-63.12,46.29
2016-12-01,Prince Edward Island,54.24061075,42.18648994,14.35755531,36094,Charlottetown,4.2,4.800000000000001,20.8,-0.3,2,16,0,-63.12,46.29
2017-01-01,Prince Edward Island,64.43471371,39.56342512,15.3199247,36094,Charlottetown,3,4.800000000000001,7.2,-7.3,-2.2,20.2,0,-63.12,46.29
2017-02-01,Prince Edward Island,55.84865272,38.82809415,13.92917106,36094,Charlottetown,-3,4.890909090909092,0.6,-15.6,-9.3,27.3,0,-63.12,46.29
2017-03-01,Prince Edward Island,64.03117742,46.06065836,13.91480997,36094,Charlottetown,8.1,3.363636363636364,1.8,-2.8,2.7,15.3,0,-63.12,46.29
2017-04-01,Prince Edward Island,51.87930118,48.70064852,13.58027706,36094,Charlottetown,2.1,3.463636363636364,0,-5.1,-1.5,19.5,0,-63.12,46.29
2017-05-01,Prince Edward Island,61.37088186,40.68248684,16.59189229,36094,Charlottetown,9.2,3.390909090909091,4,0.1,4.7,13.3,0,-63.12,46.29
2017-06-01,Prince Edward Island,61.08611157,42.17997529,17.84733809,36094,Charlottetown,18.4,1.5,0,10.4,14.4,3.6,0,-63.12,46.29
2017-07-01,Prince Edward Island,60.19834878,43.21205605,14.48347458,36094,Charlottetown,19.5,1.3545454545454545,1,13.6,16.6,1.4,0,-63.12,46.29
2017-08-01,Prince Edward Island,64.82989991,36.45710406,15.15738007,36094,Charlottetown,24.3,1.2999999999999998,0.8,10.4,17.4,0.6,0,-63.12,46.29
2017-09-01,Prince Edward Island,68.28316709,35.27903456,16.75834395,36094,Charlottetown,15.5,1.4272727272727272,1.1,8.7,12.1,5.9,0,-63.12,46.29
2017-10-01,Prince Edward Island,68.88099859,33.64589199,16.32030789,36094,Charlottetown,16.1,1.4454545454545455,0,4.7,10.4,7.6,0,-63.12,46.29
2017-11-01,Prince Edward Island,74.5254046,36.42988864,18.45990677,36094,Charlottetown,10,1.2454545454545454,0,-1.6,4.2,13.8,0,-63.12,46.29
2017-12-01,Prince Edward Island,76.35909814,35.23445629,18.77295815,36094,Charlottetown,6.3,1.2454545454545454,5.6,0.4,3.4,14.6,0,-63.12,46.29
2018-01-01,Prince Edward Island,72.23810444,35.16392148,16.17401047,36094,Charlottetown,-12.3,1.1545454545454543,0,-15.5,-13.9,31.9,0,-63.12,46.29
2018-02-01,Prince Edward Island,69.44927259,30.65547293,17.16637094,36094,Charlottetown,2.4,1.0818181818181818,3.2,-9.2,-3.4,21.4,0,-63.12,46.29
2018-03-01,Prince Edward Island,67.92066026,29.90852823,14.86071661,36094,Charlottetown,1.1,0.981818182,0.2,-7.5,-3.2,21.2,0,-63.12,46.29
2018-04-01,Prince Edward Island,68.11162765,36.94883604,14.2055606,36094,Charlottetown,6.3,0.981818182,1.8,-0.6,2.9,15.1,0,-63.12,46.29
2018-05-01,Prince Edward Island,68.82299433,40.68462282,16.95929546,36094,Charlottetown,11.9,1.0454545454545454,0,5.8,8.9,9.1,0,-63.12,46.29
2018-06-01,Prince Edward Island,64.34160802,41.28975789,16.77050618,36094,Charlottetown,28.6,0.5363636363636364,0,11.7,20.2,0,2.2,-63.12,46.29
2018-07-01,Prince Edward Island,61.03056819,38.13739183,15.15789144,36094,Charlottetown,20.4,0.5545454545454546,0,11.3,15.9,2.1,0,-63.12,46.29
2018-08-01,Prince Edward Island,63.66227929,39.89723043,15.63667858,36094,Charlottetown,29.9,1.4636363636363638,0,17.6,23.8,0,5.8,-63.12,46.29
2018-09-01,Prince Edward Island,63.48738999,44.9899116,14.97493612,36094,Charlottetown,21.8,1.4454545454545455,0,6.9,14.4,3.6,0,-63.12,46.29
2018-10-01,Prince Edward Island,60.90466485,36.10924328,15.45711974,36094,Charlottetown,13.8,1.2818181818181815,0.7,2.3,8.1,9.9,0,-63.12,46.29
2018-11-01,Prince Edward Island,66.75374244,45.8031454,18.86583758,36094,Charlottetown,8.3,2.363636363636364,0,4.6,6.5,11.5,0,-63.12,46.29
2018-12-01,Prince Edward Island,63.20516418,44.00994267,13.75587847,36094,Charlottetown,5.8,2.363636363636364,0.2,-0.2,2.8,15.2,0,-63.12,46.29
2019-01-01,Prince Edward Island,68.04463651,43.18706025,14.52371261,36094,Charlottetown,-1,2.363636363636364,13.2,-7.8,-4.4,22.4,0,-63.12,46.29
2019-02-01,Prince Edward Island,72.006275,44.39275861,14.79362103,36094,Charlottetown,-11.4,2.963636363636364,0,-16.4,-13.9,31.9,0,-63.12,46.29
2019-03-01,Prince Edward Island,79.97629256,44.58718451,14.92807043,36094,Charlottetown,-1.8,2.963636363636364,0,-12.3,-7.1,25.1,0,-63.12,46.29
2019-04-01,Prince Edward Island,77.68833487,46.49518134,18.93575806,36094,Charlottetown,8.8,2.9,11.9,-2.5,3.2,14.8,0,-63.12,46.29
2019-05-01,Prince Edward Island,69.17764879,34.32459377,19.55288382,36094,Charlottetown,8.5,3.145454545454545,0,-2.7,2.9,15.1,0,-63.12,46.29
2019-06-01,Prince Edward Island,71.02654797,38.28428827,20.49651975,36094,Charlottetown,20.1,3.309090909090909,0,5,12.6,5.4,0,-63.12,46.29
2019-07-01,Prince Edward Island,65.95944079,40.12091952,18.21660874,36094,Charlottetown,14.1,2.1090909090909093,6.6,11.5,12.8,5.2,0,-63.12,46.29
2019-08-01,Prince Edward Island,71.44653449,42.38163805,20.57066168,36094,Charlottetown,25.2,2.1090909090909093,0,14.8,20,0,2,-63.12,46.29
2019-09-01,Prince Edward Island,69.29238801,41.47065474,17.41377038,36094,Charlottetown,19.6,2.1090909090909093,0,10.2,14.9,3.1,0,-63.12,46.29
2019-10-01,Prince Edward Island,76.85171331,37.99793784,16.60839171,36094,Charlottetown,11.9,2.5454545454545454,2.7,7.2,9.6,8.4,0,-63.12,46.29
2019-11-01,Prince Edward Island,73.91150534,39.69157348,15.76248612,36094,Charlottetown,19.3,2.5818181818181816,2,5.3,12.3,5.7,0,-63.12,46.29
2019-12-01,Prince Edward Island,82.84551181,41.82196457,17.43576547,36094,Charlottetown,-1.6,2.9,0,-7.8,-4.7,22.7,0,-63.12,46.29
2020-01-01,Prince Edward Island,89.84810665,43.03700783,20.04669912,36094,Charlottetown,3,2.517676767676768,0,-2.6,0.2,17.8,0,-63.12,46.29
2020-02-01,Prince Edward Island,82.34611766,44.37212901,18.07140494,36094,Charlottetown,-1.6,2.7848484848484847,0,-13.4,-7.5,25.5,0,-63.12,46.29
2020-03-01,Prince Edward Island,78.49400832,42.8027186,18.30158416,36094,Charlottetown,-0.1,2.83030303,16.7,-4.5,-2.3,20.3,0,-63.12,46.29
2020-04-01,Prince Edward Island,77.56821102,36.04587794,15.84912532,36094,Charlottetown,4.2,2.5848484848484845,0.4,-1,1.6,16.4,0,-63.12,46.29
2020-05-01,Prince Edward Island,85.20152365,33.48825237,17.6733372,36094,Charlottetown,15.7,2.403030303030303,3.5,2.2,9,9,0,-63.12,46.29
2020-06-01,Prince Edward Island,86.18675675,36.77211729,17.72905065,36094,Charlottetown,11.9,2.639393939393939,2.394444444444444,4.1,8,10,0,-63.12,46.29
2020-07-01,Prince Edward Island,78.64683699,36.22423983,16.14189371,36094,Charlottetown,24.1,2.939393939393939,2.9388888888888887,17.2,20.7,0,2.7,-63.12,46.29
2020-08-01,Prince Edward Island,78.67408717,38.12423141,18.80222027,36094,Charlottetown,21.8,2.939393939393939,0.5,12.7,17.3,0.7,0,-63.12,46.29
2020-09-01,Prince Edward Island,74.9598114,43.2172202,15.37944755,36094,Charlottetown,20.6,1.4212121212121211,0,4.5,12.6,5.4,0,-63.12,46.29
2020-10-01,Prince Edward Island,75.25980706,41.15257819,15.73481877,36094,Charlottetown,21.1,2.4212121212121214,0,13,17.1,0.9,0,-63.12,46.29
2020-11-01,Prince Edward Island,78.12777214,38.2960233,13.9399396,36094,Charlottetown,12.2,2.993939393939394,2.6,-4.4,3.9,14.1,0,-63.12,46.29
2020-12-01,Prince Edward Island,76.63833943,40.81473337,14.31695491,36094,Charlottetown,14,3.0580808080808084,3.3,8.7,11.4,6.6,0,-63.12,46.29
2021-01-01,Prince Edward Island,107.6599758,40.28904396,17.40936721,36094,Charlottetown,-2,2.790909090909091,0,-7.4,-4.7,22.7,0,-63.12,46.29
2021-02-01,Prince Edward Island,103.3549182,43.93597144,18.79728027,36094,Charlottetown,-2,3.6181818181818177,0,-5.4,-3.7,21.7,0,-63.12,46.29
2021-03-01,Prince Edward Island,99.95475484,45.71280578,17.37477797,36094,Charlottetown,1.3,3.6181818181818177,11.4,-6.5,-2.6,20.6,0,-63.12,46.29
2021-04-01,Prince Edward Island,109.0491009,47.74469519,20.40588932,36094,Charlottetown,14.7,3.6181818181818177,9.8,7,10.9,7.1,0,-63.12,46.29
2021-05-01,Prince Edward Island,83.82054476,44.09140475,19.07193219,36094,Charlottetown,8.5,3.4,3.1,2.3,5.4,12.6,0,-63.12,46.29
2021-06-01,Prince Edward Island,77.75183043,31.58277978,20.92440482,36094,Charlottetown,17.9,3.1,0,9.2,13.6,4.4,0,-63.12,46.29
2021-07-01,Prince Edward Island,70.35637889,30.2296113,19.86049423,36094,Charlottetown,20.8,3.1,9.6,12.2,16.5,1.5,0,-63.12,46.29
2021-08-01,Prince Edward Island,69.82170111,40.87546021,21.44268594,36094,Charlottetown,23.2,3.41,0,13.5,18.4,0,0.4,-63.12,46.29
2021-09-01,Prince Edward Island,73.25724894,43.83999091,16.98590141,36094,Charlottetown,23,2.522222222222222,0,12.6,17.8,0.2,0,-63.12,46.29
2021-10-01,Prince Edward Island,78.78228593,39.14756246,20.41288274,36094,Charlottetown,14.2,1.6124999999999998,0.2,6.6,10.4,7.6,0,-63.12,46.29
2021-11-01,Prince Edward Island,88.98334081,34.38694829,23.22430026,36094,Charlottetown,16.2,1.4,0,5.8,11,7,0,-63.12,46.29
2021-12-01,Prince Edward Island,91.77737234,32.97233338,19.91328244,36094,Charlottetown,1.4,1.633333333333333,0,-4.2,-1.4,19.4,0,-63.12,46.29
2013-01-01,Prince Edward Island,0,0,0.489742113,51,East Point,-3.6,0.5,1.6,-11.5,-7.6,25.6,0,-61.99,46.46
2013-02-01,Prince Edward Island,0,0,0.560339155,51,East Point,2.1,2.914285714285714,0,-7.6,-2.8,20.8,0,-61.99,46.46
2013-03-01,Prince Edward Island,0,0,0.584378568,51,East Point,-0.4,3.075,0,-3.3,-1.9,19.9,0,-61.99,46.46
2013-04-01,Prince Edward Island,0,0,0.52968972,51,East Point,3.5,3.755555555555555,0.8,-1.7,0.9,17.1,0,-61.99,46.46
2013-05-01,Prince Edward Island,0,0,0.435956135,51,East Point,8.2,4.04,0,2.3,5.3,12.7,0,-61.99,46.46
2013-06-01,Prince Edward Island,0,0,0.450475402,51,East Point,12.9,3.736363636363636,0.6,8.5,10.7,7.3,0,-61.99,46.46
2013-07-01,Prince Edward Island,0,0,0.359339203,51,East Point,22.5,3.609090909090909,17.4,13.6,18.1,0,0.1,-61.99,46.46
2013-08-01,Prince Edward Island,0,0,0.366689501,51,East Point,24.6,3.663636363636364,4.2,15.8,20.2,0,2.2,-61.99,46.46
2013-09-01,Prince Edward Island,0,0,0.392207745,51,East Point,20.1,3.663636363636364,9.2,15.8,18,0,0,-61.99,46.46
2013-10-01,Prince Edward Island,0,0,0.410797537,51,East Point,16.2,3.590909090909091,6.6,12.5,14.4,3.6,0,-61.99,46.46
2013-11-01,Prince Edward Island,0,0,0.384745285,51,East Point,16.1,4.063636363636364,0.7,9.4,12.8,5.2,0,-61.99,46.46
2013-12-01,Prince Edward Island,0,0,0.498361207,51,East Point,3.7,5.4363636363636365,0.2,-6.7,-1.5,19.5,0,-61.99,46.46
2014-01-01,Prince Edward Island,0,0,0.547211733,51,East Point,-13,3.854545454545456,0.6,-15.9,-14.5,32.5,0,-61.99,46.46
2014-02-01,Prince Edward Island,0,0,0.556244382,51,East Point,-1.7,3.472727272727272,0,-7.1,-4.4,22.4,0,-61.99,46.46
2014-03-01,Prince Edward Island,0,0,0.468200687,51,East Point,-3.7,2.636363636363636,0,-15.2,-9.5,27.5,0,-61.99,46.46
2014-04-01,Prince Edward Island,0,0,0.466870911,51,East Point,-2.1,2.2545454545454544,5.2,-3.2,-2.7,20.7,0,-61.99,46.46
2014-05-01,Prince Edward Island,0,0,0.449350598,51,East Point,9.6,2.209090909090909,15.7,-0.3,4.7,13.3,0,-61.99,46.46
2014-06-01,Prince Edward Island,0,0,0.472579377,51,East Point,9.4,3.0727272727272723,0,4.4,6.9,11.1,0,-61.99,46.46
2014-07-01,Prince Edward Island,0,0,0.42698703,51,East Point,27.3,3.0181818181818176,0,17.2,22.3,0,4.3,-61.99,46.46
2014-08-01,Prince Edward Island,0,0,0.401584813,51,East Point,23.6,3.1,0,15.4,19.5,0,1.5,-61.99,46.46
2014-09-01,Prince Edward Island,0,0,0.424931733,51,East Point,19,3.1,2.4,15.1,17.1,0.9,0,-61.99,46.46
2014-10-01,Prince Edward Island,0,0,0.418970193,51,East Point,12.7,2.627272727272727,0.2,10.6,11.7,6.3,0,-61.99,46.46
2014-11-01,Prince Edward Island,0,0,0.473616953,51,East Point,8.3,1.2818181818181815,9.7,6.1,7.2,10.8,0,-61.99,46.46
2014-12-01,Prince Edward Island,0,0,0.344230938,51,East Point,11.9,1.2818181818181815,0,0.4,6.2,11.8,0,-61.99,46.46
2015-01-01,Prince Edward Island,0,0,0.423057262,51,East Point,-2.7,1.2818181818181815,0.9,-13.5,-8.1,26.1,0,-61.99,46.46
2015-02-01,Prince Edward Island,0,0,0.304980818,51,East Point,-1.9,1.2818181818181815,0,-16.7,-9.3,27.3,0,-61.99,46.46
2015-03-01,Prince Edward Island,0,0,0.358309698,51,East Point,-3.5,1.0636363636363635,0,-10.2,-6.9,24.9,0,-61.99,46.46
2015-04-01,Prince Edward Island,0,0,0.345024004,51,East Point,-1.3,1.0727272727272723,0.9,-8.3,-4.8,22.8,0,-61.99,46.46
2015-05-01,Prince Edward Island,0,0,0.439734306,51,East Point,3.9,2.5181818181818185,0,-1.2,1.4,16.6,0,-61.99,46.46
2015-06-01,Prince Edward Island,0,0,0.495038179,51,East Point,9.3,3.427272727272728,0,6.6,8,10,0,-61.99,46.46
